ResponseId,Country,EdLevel,Age,Employment_status
2,United Kingdom of Great Britain and Northern Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
3,United Kingdom of Great Britain and Northern Ireland,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",45-54 years old,Full-time Employment
10,Serbia,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Freelancer
11,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
12,Poland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",45-54 years old,Full-time Employment
19,Germany,Some college/university study without earning a degree,25-34 years old,Full-time Employment
23,Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54 years old,Full-time Employment
24,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",55-64 years old,Full-time Employment
27,Italy,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35-44 years old,Full-time Employment
29,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34 years old,Freelancer
30,Philippines,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
33,Brazil,"Associate degree (A.A., A.S., etc.)",25-34 years old,Full-time Employment
36,United States of America,Some college/university study without earning a degree,25-34 years old,Full-time Employment
37,Austria,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24 years old,Freelancer
39,France,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",35-44 years old,Freelancer
41,Brazil,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
44,Austria,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,Full-time Student
45,Romania,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Full-time Employment
46,United Kingdom of Great Britain and Northern Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25-34 years old,Full-time Employment
52,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24 years old,Full-time Student
53,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24 years old,Part-time Employment
55,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,25-34 years old,Full-time Employment
62,Switzerland,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",55-64 years old,Full-time Employment
65,Sweden,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54 years old,Full-time Employment
72,Sweden,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54 years old,Full-time Employment
75,Switzerland,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",55-64 years old,Full-time Employment
78,Republic of North Macedonia,Some college/university study without earning a degree,18-24 years old,Full-time Employment
79,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",45-54 years old,Full-time Employment
