ResponseId,PlatformHaveWorkedWith,WebframeHaveWorkedWith
2,Amazon Web Services (AWS),Express;Next.js;Node.js;React
2,Heroku,Express;Next.js;Node.js;React
2,Netlify,Express;Next.js;Node.js;React
3,Google Cloud,ASP.NET CORE
10,Amazon Web Services (AWS),Express;Next.js;Node.js;React
10,Digital Ocean,Express;Next.js;Node.js;React
10,Firebase,Express;Next.js;Node.js;React
10,Vercel,Express;Next.js;Node.js;React
11,Amazon Web Services (AWS),Node.js;React;Ruby on Rails
11,Google Cloud,Node.js;React;Ruby on Rails
12,Cloudflare,ASP.NET;ASP.NET CORE;Express;jQuery;Node.js;React
19,Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor;jQuery
23,Amazon Web Services (AWS),ASP.NET CORE
24,Amazon Web Services (AWS),Django;jQuery;WordPress
27,Amazon Web Services (AWS),ASP.NET;Node.js
29,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;jQuery;Node.js;WordPress
29,Hetzner,ASP.NET;ASP.NET CORE;jQuery;Node.js;WordPress
29,Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery;Node.js;WordPress
29,VMware,ASP.NET;ASP.NET CORE;jQuery;Node.js;WordPress
30,Microsoft Azure,AngularJS;ASP.NET;ASP.NET CORE;jQuery;Node.js;React
33,Amazon Web Services (AWS),CodeIgniter;NestJS;Node.js
36,Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor
36,VMware,ASP.NET;ASP.NET CORE;Blazor
37,Google Cloud,ASP.NET;ASP.NET CORE;Spring Boot
37,Oracle Cloud Infrastructure (OCI),ASP.NET;ASP.NET CORE;Spring Boot
39,Amazon Web Services (AWS),jQuery;Ruby on Rails;Vue.js
39,Heroku,jQuery;Ruby on Rails;Vue.js
41,Amazon Web Services (AWS),React;Ruby on Rails
41,Fly.io,React;Ruby on Rails
41,Google Cloud,React;Ruby on Rails
41,Render,React;Ruby on Rails
44,Microsoft Azure,ASP.NET;ASP.NET CORE
45,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;jQuery
46,Amazon Web Services (AWS),Django;FastAPI;Flask
46,Google Cloud,Django;FastAPI;Flask
46,Heroku,Django;FastAPI;Flask
46,PythonAnywhere,Django;FastAPI;Flask
52,Cloudflare,Angular;ASP.NET;ASP.NET CORE;Node.js;React;Solid.js
52,Firebase,Angular;ASP.NET;ASP.NET CORE;Node.js;React;Solid.js
52,Google Cloud,Angular;ASP.NET;ASP.NET CORE;Node.js;React;Solid.js
52,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Node.js;React;Solid.js
52,Supabase,Angular;ASP.NET;ASP.NET CORE;Node.js;React;Solid.js
53,Oracle Cloud Infrastructure (OCI),Angular;AngularJS;Node.js;Spring Boot
53,Supabase,Angular;AngularJS;Node.js;Spring Boot
55,Cloudflare,Express;jQuery;Laravel;Node.js
55,Google Cloud,Express;jQuery;Laravel;Node.js
55,Managed Hosting,Express;jQuery;Laravel;Node.js
62,Microsoft Azure,Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery
65,Google Cloud,Spring Boot
72,Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor;React
75,Cloudflare,Deno;FastAPI;Htmx;Next.js;Phoenix;React;Remix;Svelte;Vue.js
75,Digital Ocean,Deno;FastAPI;Htmx;Next.js;Phoenix;React;Remix;Svelte;Vue.js
75,PythonAnywhere,Deno;FastAPI;Htmx;Next.js;Phoenix;React;Remix;Svelte;Vue.js
78,Digital Ocean,Flask;Node.js;React;WordPress
78,Firebase,Flask;Node.js;React;WordPress
78,Google Cloud,Flask;Node.js;React;WordPress
78,VMware,Flask;Node.js;React;WordPress
79,Amazon Web Services (AWS),Django;Htmx;Spring Boot;Vue.js;WordPress
79,Cloudflare,Django;Htmx;Spring Boot;Vue.js;WordPress
79,Digital Ocean,Django;Htmx;Spring Boot;Vue.js;WordPress
87,Microsoft Azure,ASP.NET CORE;Express;FastAPI;Node.js;Vue.js
111,Google Cloud,ASP.NET;ASP.NET CORE;jQuery;Node.js;WordPress
111,Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery;Node.js;WordPress
113,Amazon Web Services (AWS),Node.js;React;Vue.js
113,Netlify,Node.js;React;Vue.js
114,Amazon Web Services (AWS),Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Drupal;FastAPI;Flask;jQuery;Next.js;Node.js;React;Spring Boot;Vue.js;WordPress
114,Google Cloud,Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Drupal;FastAPI;Flask;jQuery;Next.js;Node.js;React;Spring Boot;Vue.js;WordPress
114,Microsoft Azure,Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Drupal;FastAPI;Flask;jQuery;Next.js;Node.js;React;Spring Boot;Vue.js;WordPress
119,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE
119,Cloudflare,ASP.NET;ASP.NET CORE
119,Google Cloud,ASP.NET;ASP.NET CORE
121,Google Cloud,Express;Node.js
122,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;jQuery;Next.js;Node.js;React
122,Google Cloud,ASP.NET;ASP.NET CORE;jQuery;Next.js;Node.js;React
122,Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery;Next.js;Node.js;React
125,Amazon Web Services (AWS),Elm;Express;FastAPI;Fastify;Gatsby;NestJS;Next.js;Node.js;Nuxt.js;React;Vue.js
125,Cloudflare,Elm;Express;FastAPI;Fastify;Gatsby;NestJS;Next.js;Node.js;Nuxt.js;React;Vue.js
125,Digital Ocean,Elm;Express;FastAPI;Fastify;Gatsby;NestJS;Next.js;Node.js;Nuxt.js;React;Vue.js
125,Firebase,Elm;Express;FastAPI;Fastify;Gatsby;NestJS;Next.js;Node.js;Nuxt.js;React;Vue.js
125,Google Cloud,Elm;Express;FastAPI;Fastify;Gatsby;NestJS;Next.js;Node.js;Nuxt.js;React;Vue.js
125,Heroku,Elm;Express;FastAPI;Fastify;Gatsby;NestJS;Next.js;Node.js;Nuxt.js;React;Vue.js
125,Managed Hosting,Elm;Express;FastAPI;Fastify;Gatsby;NestJS;Next.js;Node.js;Nuxt.js;React;Vue.js
125,Netlify,Elm;Express;FastAPI;Fastify;Gatsby;NestJS;Next.js;Node.js;Nuxt.js;React;Vue.js
127,Amazon Web Services (AWS),Django;FastAPI;React
127,Google Cloud,Django;FastAPI;React
127,Microsoft Azure,Django;FastAPI;React
129,Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery
130,Cloudflare,ASP.NET CORE;Svelte;Vue.js
130,Microsoft Azure,ASP.NET CORE;Svelte;Vue.js
132,Amazon Web Services (AWS),NestJS;Next.js;Node.js;React
132,Digital Ocean,NestJS;Next.js;Node.js;React
132,Firebase,NestJS;Next.js;Node.js;React
132,Google Cloud,NestJS;Next.js;Node.js;React
132,Vercel,NestJS;Next.js;Node.js;React
134,Amazon Web Services (AWS),ASP.NET CORE;Blazor;Flask;React
134,Cloudflare,ASP.NET CORE;Blazor;Flask;React
134,Digital Ocean,ASP.NET CORE;Blazor;Flask;React
134,Hetzner,ASP.NET CORE;Blazor;Flask;React
134,Microsoft Azure,ASP.NET CORE;Blazor;Flask;React
134,Oracle Cloud Infrastructure (OCI),ASP.NET CORE;Blazor;Flask;React
134,OVH,ASP.NET CORE;Blazor;Flask;React
138,Amazon Web Services (AWS),Express;NestJS;Next.js;Node.js
138,Vercel,Express;NestJS;Next.js;Node.js
140,Google Cloud,Express;Flask;Next.js;Node.js;React;WordPress
142,Cloudflare,Angular;Drupal;jQuery;Laravel;React;Vue.js
142,Digital Ocean,Angular;Drupal;jQuery;Laravel;React;Vue.js
142,Heroku,Angular;Drupal;jQuery;Laravel;React;Vue.js
