ResponseId,PlatformWantToWorkWith,WebframeWantToWorkWith
2,Amazon Web Services (AWS),Express;Htmx;Node.js;React;Remix
2,Heroku,Express;Htmx;Node.js;React;Remix
2,Netlify,Express;Htmx;Node.js;React;Remix
3,Google Cloud,ASP.NET CORE
10,Amazon Web Services (AWS),Express;Next.js;Node.js;React
10,Digital Ocean,Express;Next.js;Node.js;React
10,Firebase,Express;Next.js;Node.js;React
10,Vercel,Express;Next.js;Node.js;React
11,Google Cloud,Django;Node.js;React;Ruby on Rails
12,Cloudflare,ASP.NET;ASP.NET CORE;Express;jQuery;Node.js;React
19,Microsoft Azure,ASP.NET CORE;Blazor
23,Amazon Web Services (AWS),ASP.NET CORE
23,Cloudflare,ASP.NET CORE
23,Microsoft Azure,ASP.NET CORE
24,Amazon Web Services (AWS),Django;jQuery;WordPress
27,Amazon Web Services (AWS),Node.js
29,Amazon Web Services (AWS),Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;Next.js;React;WordPress
29,Colocation,Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;Next.js;React;WordPress
29,Hetzner,Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;Next.js;React;WordPress
29,Microsoft Azure,Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;Next.js;React;WordPress
29,VMware,Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;Next.js;React;WordPress
30,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;Blazor;Express;Next.js;Node.js;React;Vue.js
30,Firebase,ASP.NET;ASP.NET CORE;Blazor;Express;Next.js;Node.js;React;Vue.js
30,Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor;Express;Next.js;Node.js;React;Vue.js
33,Amazon Web Services (AWS),CodeIgniter;Node.js
36,Microsoft Azure,ASP.NET CORE;Blazor
37,Google Cloud,Spring Boot
37,Oracle Cloud Infrastructure (OCI),Spring Boot
39,Amazon Web Services (AWS),Ruby on Rails;Vue.js
39,Heroku,Ruby on Rails;Vue.js
41,Fly.io,Phoenix;Ruby on Rails;Vue.js
44,Microsoft Azure,ASP.NET;ASP.NET CORE
45,Firebase,Angular;ASP.NET;ASP.NET CORE
45,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE
46,Databricks,FastAPI;Flask
46,Firebase,FastAPI;Flask
46,Google Cloud,FastAPI;Flask
46,Heroku,FastAPI;Flask
52,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;Astro;FastAPI;Htmx;Node.js;Nuxt.js;Solid.js;Svelte
52,Cloudflare,ASP.NET;ASP.NET CORE;Astro;FastAPI;Htmx;Node.js;Nuxt.js;Solid.js;Svelte
52,Digital Ocean,ASP.NET;ASP.NET CORE;Astro;FastAPI;Htmx;Node.js;Nuxt.js;Solid.js;Svelte
52,Firebase,ASP.NET;ASP.NET CORE;Astro;FastAPI;Htmx;Node.js;Nuxt.js;Solid.js;Svelte
52,Fly.io,ASP.NET;ASP.NET CORE;Astro;FastAPI;Htmx;Node.js;Nuxt.js;Solid.js;Svelte
52,Google Cloud,ASP.NET;ASP.NET CORE;Astro;FastAPI;Htmx;Node.js;Nuxt.js;Solid.js;Svelte
